1 0.0 0.0
2 0.02 0.0
3 0.04 0.0
4 0.06 0.0
5 0.08 0.0
6 0.1 0.0
7 0.0 0.02
8 0.02 0.02
9 0.04 0.02
10 0.06 0.02
11 0.08 0.02
12 0.1 0.02
13 0.0 0.04
14 0.02 0.04
15 0.04 0.04
16 0.06 0.04
17 0.08 0.04
18 0.1 0.04
19 0.0 0.06
20 0.02 0.06
21 0.04 0.06
22 0.06 0.06
23 0.08 0.06
24 0.1 0.06
25 0.0 0.08
26 0.02 0.08
27 0.04 0.08
28 0.06 0.08
29 0.08 0.08
30 0.1 0.08
31 0.0 0.1
32 0.02 0.1
33 0.04 0.1
34 0.06 0.1

1 2 7 0
2 3 8 0
3 4 9 0
4 5 10 0
5 6 11 0
7 8 13 0
8 9 14 0
9 10 15 0
10 11 16 0
11 12 17 0
13 14 19 0
14 15 20 0
15 16 21 0
16 17 22 0
17 18 23 0
19 20 25 0
20 21 26 0
21 22 27 0
22 23 28 0
23 24 29 0
25 26 31 0
26 27 32 0
27 28 33 0
2 7 8 0
3 8 9 0
4 9 10 0
5 10 11 0
6 11 12 0
8 13 14 0
9 14 15 0
10 15 16 0
11 16 17 0
12 17 18 0
14 19 20 0
15 20 21 0
16 21 22 0
17 22 23 0
18 23 24 0
20 25 26 0
21 26 27 0
22 27 28 0
23 28 29 0
24 29 30 0
26 31 32 0
27 32 33 0
28 33 34 0

1 0
2 0
3 0
4 0
5 0
6 0
7 0
13 0
19 0
25 0
31 0
28 15
29 15
30 15
34 15
